"CODE","LOCATION","TYPE","RATING (MAX = 5)","Address","Description","Long Description","Tags_Creation_Description","Ticket Info","image_path","open_time","close_time","coordinate","tags","image_url"
"EN023","District 5 Cultural Center","Entertainment",4.8,"105 Trần Hưng Đạo, Phường 6, District 5, Ho Chi Minh City, Vietnam","The District 5 Cultural Center hosts various cultural events and performances.","The District 5 Cultural Center serves as a hub for artistic and cultural activities in the area. It features a theater, exhibition spaces, and classrooms for workshops. Visitors can enjoy traditional Vietnamese performances, art exhibitions, and community events. The center aims to promote and preserve the cultural heritage of District 5 and Ho Chi Minh City.","",0.0,"https://ak-d.tripcdn.com/images/0HJ5n12000ih6wkfnCD6E.jpg","0:00","23:59","10.752422, 106.668542","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014713/EN023.jpg"
"EN024","Tourist Area April 30","Entertainment",4.3,"3 Đ. D3, Phường 25, Bình Thạnh, Ho Chi Minh City, Vietnam","Tourist Area April 30 is a recreational area offering diverse attractions.","Tourist Area April 30 is a leisure complex that provides visitors with a range of recreational options. These typically include restaurants, cafes, and possibly some amusement facilities or outdoor activities. It's a spot where locals and tourists alike can relax, socialize, and enjoy entertainment. The area is designed to cater to families and individuals seeking a pleasant day out in a comfortable setting.","",0.0,"https://ak-d.tripcdn.com/images/0HJ5t12000ip1zwgiB95C.jpg","0:00","23:59","10.387735, 106.921473","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014714/EN024.jpg"
"LC016","St. Paul's Church","Local",3.9,"180 Nguyễn Đình Chiểu, Phường 6, District 3, Ho Chi Minh City, Vietnam","St. Paul's Church is a Catholic church with beautiful architecture.","St. Paul's Church, also known as Nhà thờ Thánh Phaolô, is a prominent Catholic church recognized for its striking architecture and peaceful atmosphere. It serves as a place of worship for the local Catholic community and welcomes visitors of all faiths. The church's design features intricate details and a serene ambiance, providing a tranquil space for prayer and reflection. Its historical significance and architectural beauty make it a notable landmark in District 3.","",0.0,"https://ak-d.tripcdn.com/images/0HJ3v12000it8tpys000A.jpg","0:00","23:59","10.75231, 106.616141","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014715/LC016.jpg"
"EN025","Tan Binh Exhibition and Convention Center","Entertainment",4.3,"446 Hoàng Văn Thụ, Phường 4, Tân Bình, Ho Chi Minh City, Vietnam","Tan Binh Exhibition and Convention Center hosts various exhibitions and events.","The Tan Binh Exhibition and Convention Center (TBECC) is a venue that hosts a wide array of trade shows, exhibitions, and conventions. It provides a spacious and modern environment for businesses and organizations to showcase their products and services. TBECC is equipped with various facilities, including exhibition halls, meeting rooms, and support services, making it a key destination for business events in Ho Chi Minh City. It supports local and international commerce and collaboration.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6412000impsdsoD27E.jpg","0:00","23:59","10.795647, 106.654817","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014717/EN025.jpg"
"LC017","The Venerable Thich Quang Duc Monument","Local",4.4,"Nguyễn Đình Chiểu, Phường 6, District 3, Ho Chi Minh City, Vietnam","The Venerable Thich Quang Duc Monument commemorates a significant historical event.","The Venerable Thich Quang Duc Monument stands as a solemn memorial to the Buddhist monk who self-immolated in 1963 to protest the persecution of Buddhists. It's located near the intersection where this event occurred. The monument consists of a statue of the monk in meditation and a surrounding landscaped area. The site is a place of reflection and remembrance, honoring his sacrifice and highlighting the importance of religious freedom and peace.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6n12000i7k8k01837E.jpg","0:00","23:59","10.775466, 106.686771","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014718/LC017.jpg"
"MA009","Hoa Lan Night Market","Market",3.8,"Đ. Lê Quang Định, Phường 5, Bình Thạnh, Ho Chi Minh City, Vietnam","Hoa Lan Night Market offers a vibrant shopping and dining experience at night.","Hoa Lan Night Market is a bustling night market that comes alive in the evening, offering a wide array of goods, from clothing and accessories to street food and souvenirs. The atmosphere is lively and energetic, with vendors displaying their wares under bright lights. It's a popular spot for locals and tourists to experience the vibrant street culture of Ho Chi Minh City. The market offers a chance to find unique items and enjoy delicious local cuisine at affordable prices.","",0.0,"https://ak-d.tripcdn.com/images/0HJ5v12000ic53rts305A.jpg","0:00","23:59","10.949023, 106.713593","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014719/MA009.jpg"
"EN026","Phong Kham Da Lieu Ga Quan 7","Entertainment",4.2,"101B Đường Số 13, Khu đô thị Him Lam, Tân Hưng, District 7, Ho Chi Minh City, Vietnam","Phong Kham Da Lieu Ga Quan 7 is a medical clinic specializing in dermatology.","Phong Kham Da Lieu Ga Quan 7 is a specialized medical clinic in District 7 offering dermatological services. This clinic provides treatments for various skin conditions and aesthetic procedures. While primarily a medical facility, it is included as a tourist location since travelers might search for specialized medical services within the city. The clinic is equipped with modern facilities and staffed by experienced dermatologists.","",0.0,"https://ak-d.tripcdn.com/images/0HJ1h12000i3w97j2BC9C.jpg","0:00","23:59","10.740908, 106.696445","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014721/EN026.jpg"
"EN027","Hoang Van Thu Park","Entertainment",4.8,"Tân Bình, Ho Chi Minh City, Vietnam","Hoang Van Thu Park is a large green space offering a relaxing retreat.","Hoang Van Thu Park is a sizable public park located in the Tan Binh District. It provides a green oasis amidst the city's urban landscape, offering a place for relaxation, recreation, and exercise. The park features walking paths, open lawns, and playgrounds, making it popular among families and individuals. Visitors can enjoy a peaceful stroll, participate in outdoor activities, or simply relax under the shade of the trees.","",0.0,"https://ak-d.tripcdn.com/images/0HJ3g12000gnd6a6w3789.jpg","0:00","23:59","10.801044, 106.665051","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014722/EN027.jpg"
"EN028","Rainbow Noraebang Van Hanh Mall","Entertainment",3.6,"Van Hanh Mall, 11 Sư Vạn Hạnh, Phường 12, District 10, Ho Chi Minh City, Vietnam","Rainbow Noraebang Van Hanh Mall is a karaoke venue offering entertainment.","Rainbow Noraebang is a karaoke establishment located within Van Hanh Mall. It provides private rooms equipped with karaoke systems for customers to sing and enjoy time with friends and family. The venue features a wide selection of songs in various languages and offers refreshments and snacks. It's a popular entertainment option for those seeking a fun and interactive social experience.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6w12000isid5ja7E6C.jpg","0:00","23:59","10.770711, 106.669629","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014723/EN028.jpg"
"EN029","Kat In Love - Le Lai - Go Vap","Entertainment",4.1,"66 Lê Lai, Phường 4, Gò Vấp, Ho Chi Minh City, Vietnam","Kat In Love - Le Lai - Go Vap is a themed cafe, perhaps aimed at couples.","Kat In Love - Le Lai - Go Vap is a themed cafe that is likely designed to appeal to couples and those looking for a romantic atmosphere. It probably features unique decor, cozy seating, and a menu catering to date nights or special occasions. The cafe is likely a place to relax, enjoy a themed environment, and create memories with a loved one, offering a unique dining experience in the Go Vap district.","",0.0,"https://ak-d.tripcdn.com/images/0HJ3612000iom7h5wB1D1.jpg","0:00","23:59","10.817951, 106.68465","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014724/EN029.jpg"
"EN030","Gozoo Farm","Entertainment",4.4,"79 Đ. Tăng Nhơn Phú, Phước Long B, District 9, Ho Chi Minh City, Vietnam","Gozoo Farm is a recreational farm offering animal encounters and outdoor activities.","Gozoo Farm is a family-friendly attraction where visitors can interact with various farm animals. The farm provides opportunities for children to learn about animals and nature. It also features outdoor play areas and activities suitable for families and groups. The atmosphere is relaxed and engaging, ideal for a day trip outside the city center.","",0.0,"https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg","0:00","23:59","10.447463, 107.3174","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014726/EN030.jpg"
"EN031","Park District 9","Entertainment",4.4,"Võ Chí Công, Long Thạnh Mỹ, District 9, Ho Chi Minh City, Vietnam","Park District 9 is a public park offering green space and recreational facilities.","Park District 9 provides a green space for residents and visitors to relax and enjoy outdoor activities. It features walking paths, playgrounds, and open areas. People come here for exercising, picnics, or simply to escape the hustle of the city. The park contributes to the local environment and provides a valuable space for community gatherings.","",0.0,"https://ak-d.tripcdn.com/images/0HJ5j12000it9jjnsD437.jpg","0:00","23:59","10.843448, 106.778725","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014727/EN031.jpg"
"LC018","Hue Nghiem Buddhist Temple","Local",4.2,"319 Đặng Văn Bi, Trường Thọ, Thủ Đức, Ho Chi Minh City, Vietnam","Hue Nghiem Buddhist Temple is a serene temple offering a peaceful spiritual retreat.","Hue Nghiem Buddhist Temple is a religious site featuring traditional Vietnamese architectural elements. It is a place of worship and reflection for Buddhists and those seeking tranquility. Visitors can explore the temple grounds, admire the statues and decorations, and participate in religious ceremonies. The temple offers a sense of calm and spiritual connection within the bustling city.","",0.0,"https://ak-d.tripcdn.com/images/0ww6f12000952a4el4413.jpg","0:00","23:59","10.788868, 106.739129","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014729/LC018.jpg"
"EN032","Massage Foot & Body GO VAP","Entertainment",4.5,"623/13 Phan Văn Trị, Phường 7, Gò Vấp, Ho Chi Minh City, Vietnam","Massage Foot & Body GO VAP is a spa providing massage and relaxation services.","Massage Foot & Body GO VAP offers a range of massage treatments designed to relieve stress and improve well-being. Skilled therapists provide foot massages, body massages, and other spa services. The spa aims to create a relaxing and rejuvenating experience for its customers. It's a convenient place to unwind and escape the pressures of daily life.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6t12000ibcw0b2A5A3.jpg","0:00","23:59","10.839009, 106.663026","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014731/EN032.jpg"
"EN033","Dong Nai Provincial Square","Entertainment",3.6,"Trần Quốc Toản, P. Quyết Thắng, Thành phố Biên Hòa, Đồng Nai, Vietnam","Dong Nai Provincial Square is a large public square used for events and gatherings.","Dong Nai Provincial Square is a spacious open area that serves as a central gathering place for the community. It is often used for public events, festivals, and celebrations. The square provides ample space for people to congregate and enjoy various activities. It is a landmark in the city and contributes to the vibrant atmosphere of the area; though technically outside Ho Chi Minh City, it represents a similar entertainment venue.","",0.0,"https://ak-d.tripcdn.com/images/0HJ0912000gior8j8B1CC.jpg","0:00","23:59","10.958069, 106.82859","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014732/EN033.jpg"
"EN034","Park Bien Hung","Entertainment",3.6,"Khu phố 3, Thành phố Biên Hòa, Đồng Nai, Vietnam","Park Bien Hung is a recreational park in Bien Hoa city providing green space and leisure activities.","Park Bien Hung is a green space in Bien Hoa city where visitors can relax and engage in various outdoor activities. It includes walking paths, gardens, and play areas. It offers opportunities for people to exercise, socialize, and enjoy nature. The park provides a refreshing escape from the urban environment; although not in HCMC, a very similar Entertainment venue.","",0.0,"https://ak-d.tripcdn.com/images/0HJ0912000gf7hfnj7324.jpg","0:00","23:59","10.951501, 106.822311","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014733/EN034.jpg"
"EN035","Golden Scorpion Ecological Tourist Area","Entertainment",4.7,"Ấp 3, Xã Đại Phước, Nhơn Trạch, Đồng Nai, Vietnam","Golden Scorpion Ecological Tourist Area offers a natural setting for recreation and eco-tourism.","Golden Scorpion Ecological Tourist Area is a destination that combines recreation with environmental appreciation. Visitors can explore the natural landscape, participate in outdoor activities, and learn about the local ecosystem. It features gardens, waterways, and recreational facilities. The area provides an escape from city life and promotes sustainable tourism practices; though technically outside HCMC, it represents a similar entertainment venue.","",0.0,"https://ak-d.tripcdn.com/images/0HJ4b12000hcmkwcxBF2F.jpg","0:00","23:59","10.658685, 106.856163","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014735/EN035.jpg"
"EN036","The Amazing Bay","Entertainment",4.5,"600 Đại lộ Mai Chí Thọ, An Phú, District 2, Ho Chi Minh City, Vietnam","The Amazing Bay is a water park offering a range of thrilling water attractions.","The Amazing Bay is a vibrant water park providing a wide array of exciting water slides and attractions. It offers a fun and refreshing experience for visitors of all ages. Guests can enjoy adrenaline-pumping rides, relaxing pools, and various entertainment options. The park is a popular destination for families and groups seeking a day of aquatic adventure.","",16.75,"https://ak-d.tripcdn.com/images/1lo2t12000fqny9b0056C.png","0:00","23:59","10.877303, 106.871803","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014737/EN036.png"
"EN037","Buu Long Tourist Area","Entertainment",3.7,"Khu phố 4, P. Bửu Long, Thành phố Biên Hòa, Đồng Nai, Vietnam","Buu Long Tourist Area offers a combination of natural beauty and recreational activities.","Buu Long Tourist Area is a scenic destination known for its picturesque lakes, pagodas, and landscaped gardens. It provides a tranquil escape from the city, allowing visitors to connect with nature and enjoy various recreational activities. The area features walking trails, boat rides, and cultural attractions. Though technically outside Ho Chi Minh City, it represents a similar Entertainment venue.","",0.0,"https://ak-d.tripcdn.com/images/0HJ3712000h0fw3xsB2F5.jpg","0:00","23:59","10.960879, 106.790803","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014740/EN037.jpg"
"EN038","Meta Show - Thiso Mall","Entertainment",4.0,"10 Mai Chí Thọ, An Lợi Đông, District 2, Ho Chi Minh City, Vietnam","Meta Show is an entertainment venue located within Thiso Mall, featuring performances and attractions.","Meta Show within Thiso Mall offers a unique entertainment experience, showcasing various performances and attractions. It provides a blend of art, technology, and storytelling. Visitors can expect engaging shows and immersive experiences. It offers a modern entertainment option appealing to diverse audiences, all within a convenient shopping mall setting.","",8.32,"https://ak-d.tripcdn.com/images/0101z12000ew6mnwf334E.jpg","0:00","23:59","10.771569, 106.721309","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014743/EN038.jpg"
"EN039","Trung tam hoi nghi tiec cuoi Asiana Plaza (Tan Phu)","Entertainment",4.3,"45-47 Hoang Bat Dat Street, Ward 15, Tan Binh District, Ho Chi Minh City, Vietnam","Asiana Plaza is a wedding and conference center in Tan Phu district.","Asiana Plaza in Tan Phu is a popular venue for weddings, corporate events, and conferences. It offers spacious ballrooms with elegant decorations and modern amenities. The center provides comprehensive event planning services, including catering, lighting, and sound systems. It is known for its professional staff and attention to detail, ensuring a memorable experience for guests. The venue is conveniently located in Tan Phu district, making it easily accessible for attendees.","",0.0,"https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg","0:00","23:59","10.788068, 106.625557","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014745/EN039.jpg"
"EN040","Mint Premium Q3 - goi dau sieu thu gian CN5","Entertainment",4.5,"141 Ly Chinh Thang, Ward 7, District 3, Ho Chi Minh City, Vietnam","Mint Premium Q3 is a relaxing hair salon offering specialized hair washing services.","Mint Premium Q3 is a salon located in District 3 specializing in providing highly relaxing hair washing and spa treatments. They focus on creating a serene and pampering experience for their clients. The salon uses high-quality products and employs skilled technicians trained in massage and relaxation techniques. Customers can enjoy a range of services designed to promote well-being and leave them feeling refreshed and rejuvenated. Mint Premium Q3 provides a tranquil escape from the busy city life.","",0.0,"https://ak-d.tripcdn.com/images/0HJ4c12000hw06waa1FBF.jpg","0:00","23:59","10.776968, 106.688795","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014746/EN040.jpg"
"EN041","Thu Duc Sport Center","Entertainment",4.8,"Vo Van Ngan Street, Linh Chieu Ward, Thu Duc District, Ho Chi Minh City, Vietnam","Thu Duc Sport Center is a sports facility offering various athletic activities.","Thu Duc Sport Center is a comprehensive sports complex located in Thu Duc District. It offers a range of facilities for various sports, including swimming, tennis, and soccer. The center provides opportunities for both recreational and competitive athletes. It also hosts sports events and tournaments. Thu Duc Sport Center serves as a hub for the local community to engage in physical activity and promotes a healthy lifestyle.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6a12000i53g5b1ADA0.jpg","0:00","23:59","10.852629, 106.760289","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014748/EN041.jpg"
"EN042","Binh Duong Provincial Labor Culture Center","Entertainment",4.8,"Đường D19, An Phu Ward, Phường An Phú, Thành phố Hồ Chí Minh","A cultural and sports center serving workers in Binh Duong Province with various recreational and community activities.","Binh Duong Provincial Labor Culture Center is a modern cultural and sports complex operated by the Binh Duong Labor Federation. Located in the Viet Sing Urban Area, it provides workers and local residents with a space for physical training, entertainment, and community events. The center features facilities such as an outdoor swimming pool, sports courts, a stadium, and a multipurpose hall for ceremonies and performances. It regularly hosts cultural festivals, labor contests, and athletic tournaments that encourage healthy lifestyles and social engagement. The center plays an essential role in improving the spiritual and cultural well-being of workers in one of Vietnam’s most industrialized provinces.","",0.0,"https://ak-d.tripcdn.com/images/0HJ1b12000i6su0stA2A4.jpg","0:00","23:59","10.94439, 106.735011","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014749/EN042.jpg"
"EN043","Can Gio Park","Entertainment",4.6,"Rung Sac, Can Gio, Ho Chi Minh City, Vietnam","Can Gio Park, also known as Monkey Island, is a natural reserve with mangrove forests and monkeys.","Can Gio Park, a UNESCO Biosphere Reserve, offers a unique ecotourism experience. Visitors can explore lush mangrove forests, home to diverse flora and fauna. One of the highlights is the playful monkeys that inhabit the area, providing entertaining interactions. The park features guided tours, allowing visitors to learn about the ecological significance of the mangroves and the efforts to conserve them. Boat trips through the waterways offer a scenic way to appreciate the natural beauty of Can Gio.","",0.0,"https://ak-d.tripcdn.com/images/0HJ4c12000i2tsfwbF6BF.jpg","0:00","23:59","10.413256, 106.97377","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014751/EN043.jpg"
"EN044","Kat In Love - Trung Son","Entertainment",3.9,"15 Đường số 6, Khu dân cư Trung Sơn, Bình Chánh, Ho Chi Minh City, Vietnam","Kat In Love - Trung Son is likely a coffee shop or cafe located in the Trung Son residential area.","Kat In Love, situated in the Trung Son residential area, appears to be a charming café or dessert shop. It probably offers a relaxing atmosphere where visitors can enjoy coffee, tea, and perhaps a variety of sweet treats. The décor likely creates a cozy and inviting space, making it a suitable place to unwind and socialize. This establishment caters to locals and visitors seeking a comfortable spot to enjoy a beverage and perhaps a light meal. The location in the residential area makes it convenient and accessible.","",0.0,"https://ak-d.tripcdn.com/images/0HJ4012000iiiw7pw8A14.jpg","0:00","23:59","10.736768, 106.690871","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014752/EN044.jpg"
"LC019","Ky Dong Church","Local",4.9,"41 Ky Dong, Ward 9, District 3, Ho Chi Minh City, Vietnam","Ky Dong Church is a Catholic church in District 3.","Ky Dong Church, situated in District 3, is a prominent Catholic church serving the local community. Its architecture reflects a blend of traditional and modern styles. The church provides regular mass services and religious education programs. It also engages in community outreach activities. Ky Dong Church stands as a place of worship and a center for social gatherings and spiritual growth for its parishioners.","",0.0,"https://ak-d.tripcdn.com/images/0HJ5l12000i44r83k67FC.jpg","0:00","23:59","10.781646, 106.681555","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014753/LC019.jpg"
"EN045","FPT Software Ho Chi Minh","Entertainment",3.5,"Tan Thuan Export Processing Zone, District 7, Ho Chi Minh City, Vietnam","FPT Software is a software outsourcing company with a location in Ho Chi Minh City.","FPT Software is a global IT services provider with a significant presence in Ho Chi Minh City. Its facilities provide a workspace for numerous software engineers and IT professionals. The company focuses on providing outsourcing services to clients worldwide. While primarily a business location, it also hosts occasional events and training programs for its employees and partners. FPT Software contributes significantly to the technology sector in Ho Chi Minh City.","",0.0,"https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg","0:00","23:59","10.850889, 106.798327","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014754/EN045.jpg"
